case,solver,N,shape,n_unknowns,kappa_row,max_rel_err,max_abs_err,residual,wall_time_s,converged,n_outer,notes,rel_l2_err,rms_err,linf_err,stop_reason,vqls_final_cost,qsvt_degree,qsvt_depth,hhl_scale_c,scheme,convergence_factor,n_levels,level_shapes,level_kappas,anisotropy,strip_solves,strip_solves_by_size,weighted_cost,mean_strip_size,inner_calls,inner_total_s,inner_mean_s,inner_max_s,inner_failures,inner_options,n_circuit_evals,err_vs_thomas,err_thomas_vs_exact,peak_E_field,peak_E_rel_err,peak_E_axial,azimuthal_mode_amp,azimuthal_mode_rel_err,s_per_strip_solve,solves_per_digit,discretisation_order,hhl_trotter_steps,backend_name
3D_HET_MMS_SPT100,Thomas,4,4x4x4,64,1.3845874083379235,3.6899384823937655,10.012713110920345,4.764328393933774e-07,0.015016138553619385,True,12,scheme_fallback:fmg->sor,0.03689918065438337,4.892186411426615,3.6899277865840587,tol_met,,,,,line-sor,0.2739566542892788,,[],[],15.707963267948964,192,"{""4"": 192}",192.0,4.0,192,0.009191146120429039,4.7870552710567914e-05,0.00016323663294315338,0,{},,0.0,3.6899277865840587,27327.313714353866,3.689923056482674,13433.995866565969,184.15593783965244,3.6899181428106234,7.820905496676762e-05,31.040338232315776,2,,aer_simulator_statevector (CPU)
3D_HET_MMS_SPT100,HHL,4,4x4x4,64,1.3845874083379235,3.7684413034971933,10.22576154049068,0.002649502662266554,80.476258398965,False,23,scheme_fallback:fmg->sor,0.03691725325534321,4.8945825224314365,3.768441303495103,stagnated,,,,181.19696575136143,line-sor,0.7745965933311578,,[],[],15.707963267948964,368,"{""4"": 368}",368.0,4.0,368,80.45434803515673,0.2186259457477085,0.47560073994100094,0,"{""epsilon"": 0.01}",,0.123404991862267,3.6899277865840587,27350.823264262854,3.779126973363646,13504.029267637772,184.10168192081102,3.65936907744012,0.21868548477979619,150.79883333202028,2,100,aer_simulator_statevector (CPU)
3D_HET_MMS_SPT100,VQLS,4,4x4x4,64,1.3845874083379235,3.6899919644459023,10.012784759818885,6.195181122081567e-07,275.56416719406843,True,18,scheme_fallback:fmg->sor,0.03689944175070798,4.892221028235679,3.689954190942066,tol_met,1.0319368816248521e-13,,,,line-sor,0.43939594205719945,,[],[],15.707963267948964,288,"{""4"": 288}",288.0,4.0,288,275.5510233063251,0.9567743864802954,1.4103645160794258,0,{},178.61458333333334,4.4982223730900516e-05,3.6899277865840587,27327.329784574664,3.689984032836788,13434.001687254164,184.15598742250387,3.6899460606821104,0.9568200249794043,47.43514787347769,2,,aer_simulator_statevector (CPU)
3D_HET_MMS_SPT100,QSVT,4,4x4x4,64,1.3845874083379235,3.6899384823944543,10.012713110921027,4.7643283964137707e-07,60.46829256974161,True,12,scheme_fallback:fmg->sor,0.0368991806543828,4.89218641142654,3.68992778658431,tol_met,,501,1003,,line-sor,0.2739566543022428,,[],[],15.707963267948964,192,"{""4"": 192}",192.0,4.0,192,60.459178833290935,0.3148915564233903,13.348861269652843,0,"{""max_degree"": 500}",,5.656759883142045e-13,3.6899277865840587,27327.313714353913,3.689923056482854,13433.995866565909,184.15593783965238,3.6899181428105914,0.3149390238007375,31.040338233450225,2,,aer_simulator_statevector (CPU)
3D_HET_Discharge_SPT100,Thomas,4,4x4x4,64,1.3845874083379235,0.0,0.0,3.2467631803678453e-07,0.014949565753340721,True,12,scheme_fallback:fmg->sor,0.0,0.0,0.0,tol_met,,,,,line-sor,0.26965620255718886,,[],[],15.707963267948964,192,"{""4"": 192}",192.0,4.0,192,0.009130245074629784,4.755335976369679e-05,0.00015007518231868744,0,{},,0.0,0.0,487050.59076430846,0.0,273052.132072777,764.3921558861413,0.0,7.786232163198292e-05,30.665609301094648,2,,aer_simulator_statevector (CPU)
3D_HET_Discharge_SPT100,HHL,4,4x4x4,64,1.3845874083379235,260.83375662709426,1044.9103442959745,0.24294804699364606,70.56602716445923,False,20,scheme_fallback:fmg->sor,0.25656978712674455,471.1003853780947,21.948618958699566,stagnated,,,,3772.9522915875523,line-sor,0.953389685237663,,[],[],15.707963267948964,320,"{""4"": 320}",320.0,4.0,320,70.5473761856556,0.22046055058017372,0.4712494406849146,0,"{""epsilon"": 0.01}",,21.948618958699566,0.0,440528.7620523391,9.551744642987616,197116.77378952573,930.4598432396535,21.725456766493636,0.2205188348889351,812.4684049335896,2,100,aer_simulator_statevector (CPU)
3D_HET_Discharge_SPT100,VQLS,4,4x4x4,64,1.3845874083379235,0.0006367217133344866,0.002042283300568215,8.973943202306501e-07,303.93489497713745,True,18,scheme_fallback:fmg->sor,3.8255393207437147e-07,0.0007024260605521459,4.2898702472018145e-05,tol_met,8.89265513078404e-14,,,,line-sor,0.45464599317702525,,[],[],15.707963267948964,288,"{""4"": 288}",288.0,4.0,288,303.923602739349,1.0552902872894063,1.4069484807550907,0,{},194.96875,4.2898702472018145e-05,0.0,487050.6374907723,9.59375980940911e-06,273052.10316133616,764.3930604934698,0.00011834335576675594,1.055329496448394,49.48833916437979,2,,aer_simulator_statevector (CPU)
3D_HET_Discharge_SPT100,QSVT,4,4x4x4,64,1.3845874083379235,2.0309458721263007e-10,1.4177885532262735e-09,3.2467639449054004e-07,61.6259275469929,True,12,scheme_fallback:fmg->sor,3.6017008463463885e-13,6.613259790764837e-10,2.978102464832618e-11,tol_met,,501,1003,,line-sor,0.2696562083297151,,[],[],15.707963267948964,192,"{""4"": 192}",192.0,4.0,192,61.61649000830948,0.32091921879327856,12.512013837695122,0,"{""max_degree"": 500}",,2.978102464832618e-11,0.0,487050.59076435864,1.0301805327588523e-11,273052.1320729464,764.3921558858626,3.6453335779283715e-11,0.32096837264058803,30.665609801975542,2,,aer_simulator_statevector (CPU)
3D_HET_RotatingSpoke_SPT100,Thomas,4,4x4x4,64,1.3845874083379235,4.442418311766863,15.670969104040012,3.7637332583368256e-07,0.02692488767206669,True,12,scheme_fallback:fmg->sor,0.03962502529752088,7.756826428677233,4.442409572335141,tol_met,,,,,line-sor,0.26800811383521034,,[],[],15.707963267948964,192,"{""4"": 192}",192.0,4.0,192,0.020948508754372597,0.00010910681642902394,0.011818496510386467,0,{},,0.0,4.442409572335141,35641.37149601919,4.45051197038818,17590.932957247387,115.15502974414301,8.064355205132554,0.00014023378995868066,30.52283404414863,2,,aer_simulator_statevector (CPU)
3D_HET_RotatingSpoke_SPT100,HHL,4,4x4x4,64,1.3845874083379235,4.521749174375727,15.950846146449521,0.0026828404696201806,80.61420295387506,False,23,scheme_fallback:fmg->sor,0.03964191929176491,7.760133525140998,4.521749174373939,stagnated,,,,360.8249788326537,line-sor,0.7748350063146854,,[],[],15.707963267948964,368,"{""4"": 368}",368.0,4.0,368,80.59218375757337,0.21900049934123197,0.4674914311617613,0,"{""epsilon"": 0.01}",,0.1238160355583656,4.442409572335141,35672.165036277984,4.540755440557991,17682.939404055513,115.12131415452126,8.032715653990667,0.21906033411379094,150.98074737192917,2,100,aer_simulator_statevector (CPU)
